title,link
Cassia.IoT.Gateways.bypass.config.queueUrl.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56102
Adobe.Commerce.estimate-shipping-methods.XXE,https://www.fortiguard.com/encyclopedia/ips/56136
Progress.WhatsUp.Gold.GetFileWithoutZip.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56135
Sharp.Multi.Function.Printers.Multiple.Vulnerabilities,https://www.fortiguard.com/encyclopedia/ips/56125
TOTOLINK.A3700R.SetWiFiGuestCfg.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/56089
TOTOLINK.A3700R.setWiFiBasicCfg.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/56091
TOTOLINK.A3700R.setWiFiEasyCfg.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/56090
Fortra.FileCatalyst.Workflow.pdf_servlet.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56097
Frangoteam.FUXA.runscript.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56098
PowerJob.job.save.processorInfo.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54649
Progress.MOVEit.Transfer.SFTP.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56101
TELSAT.marKoni.FM.Transmitter.Password.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56100
Uniview.ISC.2500-S.VM.php.setNatConfig.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56087
Weaver.E-Office.mobile_upload_save.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/56104
Weaver.E-Office.uploadify.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/56103
Ruijie.RG-UAC.get_ip_addrs_details.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56079
Apache.HugeGraph.Gremlin.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56078
Coship.Routers.apply.cgi.Authetication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56059
Coship.WM3300.wl_security_2G.asp.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56058
TOTOLINK.A3700R.cstecgi.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56061
TOTOLINK.A3700R.setIpPortFilterRules.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56063
TOTOLINK.A6000R.vif_enable.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56077
ProLink.PRC2402M.Set_TR069.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56034
